north_latitude,south_latitude,west_longitud,east_longitude
40.6910569858,40.680396,-73.9176609858,-73.907
40.6910569858,40.680396,-73.9283219715,-73.9176609858
40.6910569858,40.680396,-73.9389829573,-73.9283219715
40.6910569858,40.680396,-73.9496439431,-73.9389829573
40.6910569858,40.680396,-73.9603049288,-73.9496439431
40.6910569858,40.680396,-73.9709659146,-73.9603049288
40.6910569858,40.680396,-73.9816269004,-73.9709659146
40.6910569858,40.680396,-73.9922878862,-73.9816269004
40.6910569858,40.680396,-74.0029488719,-73.9922878862
40.6910569858,40.680396,-74.0136098577,-74.0029488719
40.6910569858,40.680396,-74.0242708435,-74.0136098577
40.6910569858,40.680396,-74.0349318292,-74.0242708435
40.6910569858,40.680396,-74.045592815,-74.0349318292
40.6910569858,40.680396,-74.0562538008,-74.045592815
40.7009384539,40.6910569858,-73.9283236771,-73.9176609858
40.7009384539,40.6910569858,-73.9389863683,-73.9283236771
40.7009384539,40.6910569858,-73.9496490596,-73.9389863683
40.7009384539,40.6910569858,-73.9603117509,-73.9496490596
40.7009384539,40.6910569858,-73.9709744422,-73.9603117509
40.7009384539,40.6910569858,-73.9816371335,-73.9709744422
40.7009384539,40.6910569858,-73.9922998247,-73.9816371335
40.7009384539,40.6910569858,-74.002962516,-73.9922998247
40.7009384539,40.6910569858,-74.0136252073,-74.002962516
40.7009384539,40.6910569858,-74.0242878986,-74.0136252073
40.7009384539,40.6910569858,-74.0349505899,-74.0242878986
40.7009384539,40.6910569858,-74.0456132811,-74.0349505899
40.7009384539,40.6910569858,-74.0562759724,-74.0456132811
40.710819922,40.7009384539,-73.9283269642,-73.9176626913
40.710819922,40.7009384539,-73.9389912371,-73.9283269642
40.710819922,40.7009384539,-73.94965551,-73.9389912371
40.710819922,40.7009384539,-73.9603197829,-73.94965551
40.710819922,40.7009384539,-73.9709840558,-73.9603197829
40.710819922,40.7009384539,-73.9816483287,-73.9709840558
40.710819922,40.7009384539,-73.9923126016,-73.9816483287
40.710819922,40.7009384539,-74.0029768745,-73.9923126016
40.710819922,40.7009384539,-74.0136411474,-74.0029768745
40.710819922,40.7009384539,-74.0243054203,-74.0136411474
40.710819922,40.7009384539,-74.0349696933,-74.0243054203
40.710819922,40.7009384539,-74.0456339662,-74.0349696933
40.710819922,40.7009384539,-74.0562982391,-74.0456339662
40.7207013901,40.710819922,-73.9283301282,-73.9176642729
